municipio_cod;lon;lat;alt
1710508;-47,76810; -8,3910000; 196,4809
1710706;-47,47990; -5,7754000; 156,7045
1710904;-48,11120; -8,3843000; 179,5191
1711100;-48,69330; -8,5688000; 339,2484
1711506;-48,59460;-12,6529000; 350,5834
1711803;-49,09860; -8,1174000; 200,2953
1711902;-49,62010;-10,7887000; 188,2054
1711951;-47,56140;-10,2969000; 315,9860
1712009;-48,35850; -9,7447000; 195,5804
1712157;-46,50670;-12,7917000; 403,0228
1712405;-46,67520; -9,5946000; 415,9848
1712454;-47,85680; -6,1940000; 201,7533
1712504;-49,65100; -9,7989000; 198,4822
1712702;-46,41250;-10,5444000; 520,9743
1712801;-47,50490; -5,9526000; 151,0110
1713205;-48,38800; -9,5683000; 190,4296
1713304;-48,59260; -9,5174000; 225,6018
1713601;-48,11040;-10,7635000; 305,3799
1713700;-48,99090;-10,0056000; 295,5568
1713809;-47,55870; -6,6119000; 176,0714
1713957;-48,60670; -7,1385000; 182,7570
1714203;-47,72730;-11,7054000; 335,6962
1714302;-47,66700; -6,3726000; 210,0485
1714880;-48,42480; -7,6333000; 252,4913
1715002;-48,90620;-10,5669000; 262,5997
1715101;-47,66810; -9,9685000; 226,0373
1715150;-46,57730;-12,9099000; 514,2896
1715259;-46,63080;-11,8159000; 640,8845
1715507;-48,90740;-10,7084000; 304,0231
1715705;-47,93420; -7,8576000; 167,7482
1715754;-48,41340;-13,0399000; 454,7120
1716109;-48,88660;-10,1712000; 398,5783
1716208;-47,88410;-12,6205000; 270,0155
1716307;-49,36330; -7,5400000; 161,9362
1716505;-48,17760; -8,9644000; 181,9579
1716604;-48,53780;-12,0298000; 246,0332
1716653;-48,93520; -8,5933000; 292,5824
1716703;-48,75710; -8,7294000; 386,4346
1717008;-47,57570;-11,1382000; 437,1479
1717206;-48,29370; -6,7698000; 194,9605
1717503;-49,16670;-10,4409000; 268,4585
1717800;-46,46960;-12,0878000; 518,6705
1717909;-47,54120;-10,7407000; 315,8822
1718006;-47,04740;-11,6073000; 382,4141
1718204;-48,41220;-10,7086000; 234,0295
1718303;-47,81470; -5,3967000; 128,7572
1718402;-48,50430; -8,5300000; 275,4406
1718451;-48,89420;-10,4243000; 296,1800
1718501;-47,23800; -8,7354000; 334,1378
1718550;-48,14100; -6,4422000; 158,5756
1718659;-46,88040;-11,4049000; 518,9657
1718709;-48,53300; -9,3437000; 208,1625
1718758;-47,89990; -9,3478000; 202,9312
1718808;-47,87580; -5,3493000; 125,4337
1718840;-49,93340;-12,5416000; 249,7989
1718865;-48,69390; -7,1499000; 180,0422
1718881;-47,74530; -8,7750000; 319,2971
1718899;-48,90930;-10,8665000; 290,7326
1718907;-48,12000;-11,4514000; 291,3725
1719004;-47,80630;-10,2824000; 274,6467
1720002;-47,68430; -6,4370000; 256,8685
1720101;-47,91940; -6,0450000; 218,3740
1720150;-46,65500;-10,1733000; 416,1110
1720200;-47,57300; -5,5538000; 157,6576
1720259;-48,23210;-12,7474000; 272,8368
1720309;-48,20380; -5,2590000; 116,0000
1720499;-48,23290;-11,9731000; 310,3955
1720655;-48,17980;-11,1499000; 265,7029
1720804;-47,63740; -5,6047000; 192,4770
1720853;-48,91110;-11,9862000; 288,5279
1720903;-46,43870;-12,3961000; 618,7583
1720937;-46,98460;-12,1928000; 406,5788
1720978;-49,09110;-12,7875000; 297,0000
1721000;-48,35100;-10,1633000; 234,0473
1721109;-48,37590; -9,5581000; 191,6785
1721208;-47,42740; -6,3256000; 171,7618
1721257;-48,20670; -8,9806000; 211,8971
1721307;-48,12300; -8,3955000; 177,4788
1722081;-47,95630; -6,8501000; 266,5865
1722107;-48,53160; -6,4119000; 150,2229
2100055;-47,50670; -4,9514000; 229,0488
2100105;-43,32090; -4,1350000;  67,1975
